id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1290752070241456129,1290734700324171777,2020-08-04 16:50:49 EDT,2020-08-04,16:50:49,-0400,432862262,nassarhuda,Huda Nassar,,"@MikeOghia All of this is so devastating. If you have any family in Beirut, I hope they're okay 💔.",en,['mikeoghia'],[],[],1,0,1,[],[],https://twitter.com/nassarhuda/status/1290752070241456129,,,0,,,,,,,,"{'user_id': '267253554', 'username': 'MikeOghia'}",,,,
1290447549468418048,1290447549468418048,2020-08-03 20:40:45 EDT,2020-08-03,20:40:45,-0400,432862262,nassarhuda,Huda Nassar,,"So! After 5.5 months in quarantine, I travelled yesterday. And guess what. They’re finally boarding by row numbers now, starting with the last couple rows. And yes, as you’d expect... boarding was so much faster. We even left the gate ~10 minutes early.",en,[],[],[],3,0,59,[],[],https://twitter.com/nassarhuda/status/1290447549468418048,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1290442170365870080,1290049290904023040,2020-08-03 20:19:23 EDT,2020-08-03,20:19:23,-0400,432862262,nassarhuda,Huda Nassar,,"@grant_mcdermott @clibassi Though, I’d say the data science course is more of a “how to do data science in Julia” course and doesn’t focus much on performance. But, I recently gave a juliacon workshop on how to write performant Julia code, I’ll be cleaning it up and will post the video+cleaned up code soon",en,"['grant_mcdermott', 'clibassi']",[],[],0,0,3,[],[],https://twitter.com/nassarhuda/status/1290442170365870080,,,0,,,,,,,,"{'user_id': '281612040', 'username': 'grant_mcdermott'}",,,,
1290432684200787968,1290372872091959299,2020-08-03 19:41:41 EDT,2020-08-03,19:41:41,-0400,432862262,nassarhuda,Huda Nassar,,@VincentAB @jfiksel1 @rlmcelreath @JuliaLanguage There‘a this page in the documentation too that can be helpful for such a transition: https://t.co/tF0bt3lOW4,en,"['vincentab', 'jfiksel1', 'rlmcelreath', 'julialanguage']",['https://docs.julialang.org/en/v1/manual/noteworthy-differences/index.html#Noteworthy-differences-from-R-1'],[],0,0,14,[],[],https://twitter.com/nassarhuda/status/1290432684200787968,,,0,,,,,,,,"{'user_id': '566754263', 'username': 'VincentAB'}",,,,
1290431969243869184,1290049290904023040,2020-08-03 19:38:51 EDT,2020-08-03,19:38:51,-0400,432862262,nassarhuda,Huda Nassar,,"@grant_mcdermott @clibassi + The scenario of using some functionality from a pkg but wanting something slightly different shows up often. But when the pkg is written in the language you are using, your chances of getting what you need out of it is higher... (e.g. not wanting to deal with C/C++ or Fortran).",en,"['grant_mcdermott', 'clibassi']",[],[],1,0,2,[],[],https://twitter.com/nassarhuda/status/1290431969243869184,,,0,,,,,,,,"{'user_id': '432862262', 'username': 'nassarhuda'}",,,,
1290431656285872128,1290049290904023040,2020-08-03 19:37:36 EDT,2020-08-03,19:37:36,-0400,432862262,nassarhuda,Huda Nassar,,"@grant_mcdermott @clibassi Nice thread! And +1 to what Grant said about different SW needs.

One thing I’d add to this thread: aside from speed comparisons, I think it’s very valuable that Julia pkgs are written in pure Julia. This opens up the space to explore the technical/research aspects of these pkgs.",en,"['grant_mcdermott', 'clibassi']",[],[],1,1,1,[],[],https://twitter.com/nassarhuda/status/1290431656285872128,,,0,,,,,,,,"{'user_id': '281612040', 'username': 'grant_mcdermott'}",,,,
1289351748298006528,1288935363134668800,2020-07-31 20:06:26 EDT,2020-07-31,20:06:26,-0400,432862262,nassarhuda,Huda Nassar,,@SarojPKhanal @JuliaConOrg Glad to hear this! I'm glad that you love the podcast too :).,en,"['sarojpkhanal', 'juliaconorg']",[],[],0,0,2,[],[],https://twitter.com/nassarhuda/status/1289351748298006528,,,0,,,,,,,,"{'user_id': '839910368365309952', 'username': 'SarojPKhanal'}",,,,
1289351321183596544,1288935363134668800,2020-07-31 20:04:44 EDT,2020-07-31,20:04:44,-0400,432862262,nassarhuda,Huda Nassar,,@NicoleEikmeier Thank you Nicole ❤️,en,['nicoleeikmeier'],[],[],0,0,1,[],[],https://twitter.com/nassarhuda/status/1289351321183596544,,,0,,,,,,,,"{'user_id': '827658288040861696', 'username': 'NicoleEikmeier'}",,,,
1289327377684652033,1288935363134668800,2020-07-31 18:29:36 EDT,2020-07-31,18:29:36,-0400,432862262,nassarhuda,Huda Nassar,,@msubhaditya Glad you enjoy them!,en,['msubhaditya'],[],[],0,0,2,[],[],https://twitter.com/nassarhuda/status/1289327377684652033,,,0,,,,,,,,"{'user_id': '1083710562', 'username': 'msubhaditya'}",,,,
1289214425249902595,1288935363134668800,2020-07-31 11:00:46 EDT,2020-07-31,11:00:46,-0400,432862262,nassarhuda,Huda Nassar,,@tomkwong Thank you! :),en,['tomkwong'],[],[],0,0,2,[],[],https://twitter.com/nassarhuda/status/1289214425249902595,,,0,,,,,,,,"{'user_id': '72067933', 'username': 'tomkwong'}",,,,
